オッズパーク いちいちIDとかを入れないと入れない前のアプリの方が使い勝手が良かった。
改善してください。 クックパッドよりレシピや献立が調べやすくていいのですが、このアプリを使っていると動きがカクカクし、スクロールがうまくできなくなる。iPhoneのホーム画面に戻ってもその動きが影響しているのか同じように動きが悪くなる。
見る専門だと良いのですが。 レシピを掲載してみたところ、差し戻しが複数回ありました。載せる画像にも、細かい指示が来るのですね。良かれと思って加工した画像が自分で撮ったものにしてください、スクショはやめてくださいと言われました。確かに、どのような端末で見られるのかわからないので妥当な差し戻しだとは思いました。が、初回の差し戻しの時から文面がなんだか気にさわって仕方ないので、わたしには掲載する方は向いてないようです。
手軽な気持ちならやめておけ "レシピの独創性を求められる。
好みの味はベースがあるはずだ。
しかし、レシピの差し戻しの原因は明示されない。
個人的には焼豚とカプレーゼは戻された。
しかし理由の明示がないせいか原因がわからぬ。
特にカプレーゼはモッツァレラも要らぬ手軽レシピにしたつもりだった。
どこがレシピ投稿のイカン箇所が明示せい。
ゴマンと有るレシピでどれがいかんか分からぬなら、楽天レシピ内という条件をつければ良いではないか。"
煩わしい 頻繁にキャンペーンのポップ広告がレシピを隠し、料理の手を止めて広告を消し続けなければならない。ムカッとする。
差し戻し率が高くて不快 "せっかくレシピを投稿しても高確率で差し戻しされる。
「適量」や「お好みで」をもっと具体的に書けと。
適量もお好みも人それぞれ適当で好みな量があるからそう書いているのにいちいち「大さじ◯」って表現しなきゃいけないのが面倒臭い。
食べる前にかけるケチャップの量をいちいち計るか。
もっと気軽に投稿したいのにこれじゃ不快でしかならない。
